Word	Count
nye	26
mange	26
godt	26
stor	25
viktig	25
norske	24
mer	24
nytt	24
stadig	23
store	22
gode	22
unge	21
flere	21
samtidig	20
god	20
siste	19
ofte	19
hele	18
større	18
mest	18
beste	18
tidligere	17
mye	17
helt	17
felles	17
spesielt	16
bedre	16
stort	16
gamle	15
litt	15
vanskelig	14
videre	14
fleste	13
viktigste	13
lett	13
langt	13
viktige	13
ulike	13
kjære	12
ny	12
minst	12
internasjonale	12
enkelt	11
fast	11
eldre	11
glad	11
rett	11
svært	11
ekstra	11
små	11
spesiell	10
kommende	10
senere	10
voksne	10
norsk	10
moderne	10
liten	10
økende	10
naturlig	10
mulig	9
dypt	9
forskjellige	9
sterkt	9
lettere	9
lenger	9
frivillige	9
riktig	8
hardt	8
levende	8
lite	8
preget	8
enkelte	8
sosiale	8
særlig	8
mindre	8
alvorlig	8
grunnleggende	8
virkelig	8
menneskelige	8
vondt	8
lenge	8
globalt	7
kulturelle	7
kort	7
sterk	7
politiske	7
mørke	7
nær	7
avhengige	7
trygg	7
viss	7
rette	7
internasjonal	7
humanitære	7
få	6
militære	6
stille	6
tydelig	6
første	6
mangt	6
største	6
imponerende	6
ukjent	6
nærmere	6
lange	6
sterke	6
opptatt	6
betydelig	6
økonomiske	6
nærmeste	6
omfattende	6
sikkert	6
økt	5
daglig	5
klart	5
hel	5
gammel	5
lang	5
dramatisk	5
kjent	5
egentlig	5
sikker	5
fremmed	5
sårbare	5
avhengig	5
kulturell	5
knapt	5
nødvendig	5
trygge	5
nære	5
fredelig	5
demokratiske	5
stolte	5
verdifulle	5
ytre	5
forståelig	5
frivillig	5
solid	5
utvilsomt	5
tunge	5
snart	5
forpliktende	5
internasjonalt	5
fint	5
åpne	5
tidlig	5
kulturelt	4
villige	4
menneskelig	4
heldige	4
humanitært	4
sterkere	4
raskt	4
fredsbevarende	4
enkle	4
rikt	4
kloke	4
fullt	4
best	4
klokt	4
viktigere	4
gjensidig	4
kristne	4
økonomisk	4
uskyldige	4
sentrale	4
slett	4
tapt	4
bevisst	4
personlig	4
positivt	4
gammelt	4
psykisk	4
enestående	4
annerledes	4
høyt	4
åpen	4
offentlige	4
veldig	4
galt	4
positive	4
utallige	4
trygt	4
ansatte	4
tungt	4
tett	4
nyttig	4
plutselig	4
vanskelige	4
personlige	3
voksende	3
yngste	3
sosialt	3
glade	3
interessant	3
utrolig	3
lokale	3
solide	3
faktisk	3
tilgjengelig	3
travelt	3
betydningsfulle	3
full	3
hyggelig	3
varmt	3
lille	3
tradisjonelt	3
materielle	3
tragiske	3
klar	3
enige	3
fineste	3
religiøse	3
inkluderende	3
flinke	3
takknemlige	3
hjertelig	3
sentralt	3
sjelden	3
oftere	3
nasjonale	3
vonde	3
truende	3
selvstendige	3
ytterligere	3
avgjørende	3
globale	3
global	3
tryggere	3
europeiske	3
kortere	3
ondt	3
fritt	3
knyttet	3
bekymret	3
varm	3
friske	3
kritisk	3
varme	3
dypere	3
syke	3
utfordrende	3
utsatte	3
sunt	3
krevende	3
optimist	3
syk	3
verdt	3
sist	3
fort	3
uenige	3
forskjellig	3
gledelig	3
ukjente	3
offentlig	3
fremst	3
spesielle	3
fredelige	3
umiddelbare	3
pårørende	3
bevisste	3
stående	3
flinkere	3
bredt	3
flott	3
privilegerte	3
jevne	3
langsiktige	3
fattigste	3
nyttige	2
hverdagslige	2
tung	2
fornuftige	2
vellykket	2
hyggelige	2
praktfulle	2
historisk	2
teknologiske	2
årlige	2
endelig	2
langvarig	2
aktive	2
tankevekkende	2
tettere	2
militært	2
forebyggende	2
utenlandske	2
åpent	2
greit	2
samlet	2
fysisk	2
fin	2
uønsket	2
dyrebare	2
dramatiske	2
voksen	2
fremtidige	2
verdensborgere	2
styrket	2
hende	2
sittende	2
skremmende	2
rikeste	2
alvorlige	2
direkte	2
rart	2
nødlidende	2
rettferdig	2
flerkulturelle	2
kvinnelige	2
væpnede	2
unges	2
sakte	2
tilsynelatende	2
sterkeste	2
raust	2
yngre	2
enklere	2
flest	2
verste	2
fantastiske	2
samlende	2
mangfoldige	2
vakre	2
ytterst	2
ansvarlig	2
varmere	2
villig	2
livsviktig	2
bra	2
sikre	2
uløste	2
spennende	2
således	2
bestemt	2
nødvendige	2
kriminelle	2
uavhengig	2
negative	2
geografisk	2
enkel	2
avdøde	2
nasjonalt	2
populære	2
private	2
moralsk	2
skinnende	2
nordligste	2
visst	2
indre	2
tilstrekkelig	2
religiøst	2
friskere	2
kortsiktig	2
svakeste	2
velfungerende	2
skjørt	2
ubegripelige	2
okkupert	2
øvrig	2
verdifullt	2
verdige	2
ren	2
frodige	2
vanskeligere	2
ivrige	2
lettvint	2
interessante	2
raskere	2
størst	2
enkeltes	2
verdig	2
fri	2
olympiske	2
meste	2
svarte	2
ufattelig	2
rike	2
kopp	2
sende	2
vestlige	2
nytte	2
brått	2
utslitte	2
sjøs	2
uendelig	2
ekstreme	2
imponert	2
forestående	2
likere	2
tiltagende	2
rikere	2
fremste	2
lyse	2
fersk	2
vanlig	2
hardest	2
frie	2
heldig	2
frisk	2
fornyet	2
sant	2
humanistisk	2
selvsagte	2
fantastisk	2
såkalte	2
fremmede	2
nært	2
teknologisk	1
fattige	1
historiske	1
fullstendig	1
uoversiktlig	1
rotfeste	1
religiøs	1
strategisk	1
overalt	1
målbar	1
effektfull	1
parallelt	1
spontane	1
idrettslige	1
negativ	1
aktiv	1
multikulturell	1
utvendige	1
usikre	1
effektiv	1
uheldig	1
syvende	1
uvant	1
inkludert	1
synkende	1
aktivt	1
åndelige	1
motsatte	1
renomme	1
langsomt	1
støvete	1
langsommere	1
kreativt	1
arktisk	1
blodige	1
langsomme	1
varmende	1
tankefull	1
flinkest	1
embeds	1
puslete	1
rå	1
paradoksale	1
overbefolket	1
varsomt	1
unyanserte	1
grundig	1
lyttende	1
tverrfaglig	1
homofile	1
uakseptabelt	1
brutalt	1
hardtslående	1
langsiktig	1
mental	1
overse	1
gjenstående	1
ungt	1
paradoksalt	1
forutsigbar	1
ønskede	1
akseptert	1
skiftende	1
unike	1
smerte	1
morsomme	1
forstemmende	1
horisont	1
kaldt	1
uredde	1
aldrende	1
møysommelige	1
hektiske	1
medmenneskelig	1
forferdelige	1
dyptfølt	1
uforsonlig	1
klarere	1
tekniske	1
hjerteligste	1
forbød	1
hjelpeløs	1
fjernere	1
forfedre	1
fattig	1
moder	1
tilsvarende	1
vesentlige	1
populær	1
homse	1
fredsskapende	1
fargerik	1
litterære	1
bemerkelsesverdig	1
egentlige	1
ubeskrevet	1
forme	1
enorm	1
etablerte	1
lykkelige	1
ordentlig	1
uskrevne	1
praktfull	1
urimelig	1
snau	1
betenkelig	1
fremtidsrettet	1
flomrammede	1
selvfølgelig	1
hyppige	1
ukritisk	1
manglende	1
trangere	1
grusom	1
gjennomsnittlige	1
idealistisk	1
eventuelle	1
nedslående	1
perfekt	1
ansvarlige	1
utrettelig	1
smått	1
kalde	1
uerstattelig	1
rosverdig	1
stabil	1
raus	1
tillitskapende	1
overlevende	1
ensidig	1
berørte	1
kirkelige	1
korte	1
automatisk	1
ukuelig	1
utseende	1
nedbrente	1
magiske	1
tyngre	1
sildrende	1
verdsette	1
sett	1
kvart	1
plassert	1
opplyst	1
travle	1
effektive	1
dårligere	1
flerkulturelt	1
hverandre	1
iboende	1
markert	1
snillere	1
knytt	1
naturgitte	1
uimotsagt	1
biologisk	1
tjent	1
blind	1
blende	1
brune	1
oppriktig	1
individuelle	1
oppmuntre	1
dyrekjøpte	1
tillitsfulle	1
målbart	1
diskriminert	1
usannsynlige	1
meningsfulle	1
mentalt	1
funksjonshemmede	1
individuell	1
tosidig	1
påfallende	1
normal	1
tøft	1
utrolige	1
skadelige	1
nordlige	1
arbeidssøkende	1
