Word	Count
være	26
står	26
er	26
har	26
kommer	25
blir	25
ta	24
gjør	24
var	24
vært	23
trenger	23
gi	22
se	22
få	21
vet	21
gir	21
lever	20
bli	20
ønsker	20
la	20
ha	19
får	19
gjøre	19
ser	19
sett	18
gå	18
leve	18
går	18
gått	18
synes	17
tror	17
gjelder	17
bidra	17
ligger	16
komme	15
skape	15
fått	15
blitt	15
fikk	14
sier	14
utvikle	14
stå	14
kom	14
mistet	13
hjelpe	13
holde	13
føler	13
opplever	13
gikk	13
tar	13
finne	13
opplevd	13
møte	12
viser	12
føle	12
finnes	11
snakke	11
klarer	11
kjenner	11
sa	11
oppleve	11
håper	11
bidrar	11
møter	10
hadde	10
lære	10
sette	10
si	10
skjer	9
sliter	9
krever	9
bygge	9
ble	9
gjort	9
bruke	9
tenke	9
minnet	9
skaper	8
markert	8
opplevde	8
miste	8
hører	8
satt	8
forstå	8
handler	8
ga	8
vise	8
heter	8
gjorde	8
glemme	8
bruker	8
skapes	8
skrev	8
født	8
bære	7
følge	7
samlet	7
kommet	7
sitter	7
prøve	7
verdsette	7
tenker	7
legge	7
lider	7
berømme	7
bærer	7
finner	7
rammet	7
skje	7
hatt	7
lagt	7
prege	7
bygger	6
arbeide	6
ivareta	6
bringe	6
takke	6
gitt	6
fortsette	6
setter	6
delta	6
lytte	6
ønske	6
tatt	6
fylt	6
sender	6
uttrykker	6
sagt	6
henger	6
dele	6
søker	6
løse	6
vist	6
tro	6
føre	6
akseptere	6
funnet	5
mottar	5
gjøres	5
stille	5
besøkte	5
nevne	5
hørt	5
settes	5
spør	5
høre	5
bevare	5
kjempe	5
reise	5
levd	5
bryr	5
lært	5
hilse	5
spørre	5
møtt	5
bor	5
lese	5
bo	5
benytte	5
husker	5
stilles	5
ført	5
fører	5
deler	5
besøke	5
bidratt	5
preger	5
tok	5
våge	5
velge	5
takle	5
fortelle	5
betyr	5
unngå	5
sikre	5
vokse	5
skriver	5
sende	5
velger	5
lærer	5
lykkes	5
glede	5
virke	5
trekke	5
fyller	5
møtes	5
prøver	5
stiller	5
skrive	4
søke	4
styrke	4
forstått	4
styrker	4
åpnet	4
forteller	4
klart	4
erkjenner	4
slått	4
løfte	4
tåle	4
bety	4
kreve	4
mener	4
skrevet	4
opprettholde	4
bry	4
gleder	4
uttrykke	4
legges	4
nyte	4
knyttet	4
så	4
fortjener	4
beskytte	4
skjedd	4
rammer	4
starter	4
mister	4
markere	4
forstår	4
slå	4
forholde	4
fortalte	4
viste	4
lar	4
klare	4
faller	4
skapt	4
minne	4
sitte	4
legger	4
feiret	4
kjenne	4
trekker	4
vokser	4
falt	4
markerer	4
